"date","Sleep.Score","Total.Sleep.Duration","Total.Bedtime","Awake.Time","REM.Sleep.Duration","Light.Sleep.Duration","Deep.Sleep.Duration","Bedtime.Start","Bedtime.End"
"2022-06-30",68,25350,32880,7530,4800,14100,6450,"2022-06-30T00:48:40.000+02:00","2022-06-30T09:56:40.000+02:00"
"2022-07-01",66,22590,28440,5850,5550,11040,6000,"2022-07-01T03:05:41.000+02:00","2022-07-01T10:59:41.000+02:00"
"2022-07-02",54,20730,27180,6450,6060,9750,4920,"2022-07-02T05:14:45.000+02:00","2022-07-02T12:47:45.000+02:00"
"2022-07-03",68,22740,27540,4800,6330,7920,8490,"2022-07-03T06:29:24.000+02:00","2022-07-03T14:08:24.000+02:00"
"2022-07-04",63,25050,30480,5430,2970,17820,4260,"2022-07-04T01:27:27.000+02:00","2022-07-04T09:55:27.000+02:00"
"2022-07-05",47,21540,31980,10440,3510,14970,3060,"2022-07-05T01:24:33.000+02:00","2022-07-05T10:17:33.000+02:00"
"2022-07-06",48,13050,14460,1410,1710,6390,4950,"2022-07-06T07:38:33.000+02:00","2022-07-06T11:39:33.000+02:00"
"2022-07-07",72,27120,33360,6240,4320,13410,9390,"2022-07-07T00:48:58.000+02:00","2022-07-07T10:04:58.000+02:00"
"2022-07-08",31,6330,12420,6090,870,3090,2370,"2022-07-08T10:16:30.000+02:00","2022-07-08T13:43:30.000+02:00"
"2022-07-09",81,27990,31620,3630,6870,11790,9330,"2022-07-09T07:17:59.000+02:00","2022-07-09T16:04:59.000+02:00"
"2022-07-10",42,14250,18540,4290,1380,9600,3270,"2022-07-10T08:26:54.000+02:00","2022-07-10T13:35:54.000+02:00"
"2022-07-11",77,29250,34800,5550,5460,15930,7860,"2022-07-11T00:38:29.000+02:00","2022-07-11T10:18:29.000+02:00"
"2022-07-12",54,22560,29820,7260,3180,15720,3660,"2022-07-12T01:00:22.000+02:00","2022-07-12T09:17:22.000+02:00"
"2022-07-13",55,20280,27480,7200,2610,12090,5580,"2022-07-13T03:47:41.000+02:00","2022-07-13T11:25:41.000+02:00"
"2022-07-14",67,26310,31920,5610,6930,15990,3390,"2022-07-14T01:19:15.000+02:00","2022-07-14T10:11:15.000+02:00"
"2022-07-15",51,17190,20220,3030,3450,8940,4800,"2022-07-15T07:34:39.000+02:00","2022-07-15T13:11:39.000+02:00"
"2022-07-16",57,26550,34020,7470,3990,19500,3060,"2022-07-16T01:35:35.000+02:00","2022-07-16T11:02:35.000+02:00"
"2022-07-17",18,1650,10920,9270,0,360,1290,"2022-07-17T09:41:28.000+02:00","2022-07-17T12:43:28.000+02:00"
"2022-07-18",84,30510,33600,3090,6330,15000,9180,"2022-07-18T00:07:53.000+02:00","2022-07-18T09:27:53.000+02:00"
"2022-07-19",62,24570,31860,7290,3510,16920,4140,"2022-07-19T01:23:14.000+02:00","2022-07-19T10:14:14.000+02:00"
"2022-07-20",62,25560,33360,7800,3210,18030,4320,"2022-07-20T01:22:16.000+02:00","2022-07-20T10:38:16.000+02:00"
"2022-07-21",50,17250,22740,5490,2280,8790,6180,"2022-07-21T05:01:10.000+02:00","2022-07-21T11:20:10.000+02:00"
"2022-07-22",62,24480,31620,7140,4080,14070,6330,"2022-07-22T04:09:59.000+02:00","2022-07-22T12:56:59.000+02:00"
"2022-07-23",57,18360,21900,3540,3030,9120,6210,"2022-07-23T06:09:39.000+02:00","2022-07-23T12:14:39.000+02:00"
"2022-07-25",72,28140,36180,8040,3480,20190,4470,"2022-07-25T01:15:01.000+02:00","2022-07-25T11:18:01.000+02:00"
"2022-07-26",69,26850,33840,6990,3120,18240,5490,"2022-07-26T00:46:56.000+02:00","2022-07-26T10:10:56.000+02:00"
"2022-07-27",45,18450,24480,6030,1710,12900,3840,"2022-07-27T03:50:41.000+02:00","2022-07-27T10:38:41.000+02:00"
"2022-07-28",50,24120,34980,10860,2850,18840,2430,"2022-07-28T01:18:54.000+02:00","2022-07-28T11:01:54.000+02:00"
"2022-07-29",67,22410,27360,4950,5370,9360,7680,"2022-07-29T04:11:05.000+02:00","2022-07-29T11:47:05.000+02:00"
"2022-07-30",65,24300,32340,8040,3780,12780,7740,"2022-07-30T02:03:54.000+02:00","2022-07-30T11:02:54.000+02:00"
"2022-07-31",57,17790,20880,3090,6240,7140,4410,"2022-07-31T07:34:06.000+02:00","2022-07-31T13:22:06.000+02:00"
"2022-08-01",39,16410,23700,7290,2760,10860,2790,"2022-08-01T05:34:30.000+02:00","2022-08-01T12:09:30.000+02:00"
"2022-08-02",56,19680,25020,5340,2850,12840,3990,"2022-08-02T01:24:29.000+02:00","2022-08-02T08:21:29.000+02:00"
"2022-08-03",68,22230,27840,5610,3300,14220,4710,"2022-08-02T23:50:22.000-07:00","2022-08-03T07:34:22.000-07:00"
"2022-08-04",72,25260,30240,4980,3840,16290,5130,"2022-08-03T23:23:48.000-07:00","2022-08-04T07:47:48.000-07:00"
"2022-08-05",61,18510,27120,8610,2910,9990,5610,"2022-08-04T23:49:25.000-07:00","2022-08-05T07:21:25.000-07:00"
"2022-08-06",63,20460,25920,5460,3630,10800,6030,"2022-08-06T01:08:57.000-07:00","2022-08-06T08:20:57.000-07:00"
"2022-08-07",74,29070,37260,8190,4200,18810,6060,"2022-08-06T23:48:09.000-07:00","2022-08-07T10:09:09.000-07:00"
"2022-08-08",55,18090,26460,8370,1410,13110,3570,"2022-08-08T01:22:02.000-07:00","2022-08-08T08:43:02.000-07:00"
"2022-08-09",58,19500,27120,7620,660,10800,8040,"2022-08-09T01:06:35.000-07:00","2022-08-09T08:38:35.000-07:00"
"2022-08-10",66,23610,28380,4770,2580,15360,5670,"2022-08-10T01:28:26.000-07:00","2022-08-10T09:21:26.000-07:00"
"2022-08-11",68,24630,29760,5130,4350,15810,4470,"2022-08-11T00:26:15.000-07:00","2022-08-11T08:42:15.000-07:00"
"2022-08-12",59,21150,27000,5850,2130,13440,5580,"2022-08-12T02:23:22.000-07:00","2022-08-12T09:53:22.000-07:00"
"2022-08-13",63,21900,30540,8640,3690,9210,9000,"2022-08-13T01:13:46.000-07:00","2022-08-13T09:42:46.000-07:00"
"2022-08-14",59,21030,26700,5670,3360,12420,5250,"2022-08-14T02:23:12.000-07:00","2022-08-14T09:48:12.000-07:00"
"2022-08-15",59,21480,29880,8400,1470,11100,8910,"2022-08-15T01:38:28.000-07:00","2022-08-15T09:56:28.000-07:00"
"2022-08-16",55,19800,24000,4200,2970,12750,4080,"2022-08-16T02:30:36.000-07:00","2022-08-16T09:10:36.000-07:00"
"2022-08-17",69,24570,28560,3990,3750,13590,7230,"2022-08-17T01:52:56.000-07:00","2022-08-17T09:48:56.000-07:00"
"2022-08-18",60,19980,25920,5940,1290,12690,6000,"2022-08-18T00:58:48.000-07:00","2022-08-18T08:10:48.000-07:00"
"2022-08-19",64,22170,27420,5250,3390,12570,6210,"2022-08-19T02:08:24.000-07:00","2022-08-19T09:45:24.000-07:00"
"2022-08-20",59,20010,22800,2790,2520,11190,6300,"2022-08-20T04:13:30.000-07:00","2022-08-20T10:33:30.000-07:00"
"2022-08-21",69,25200,29820,4620,3240,15330,6630,"2022-08-21T01:08:40.000-07:00","2022-08-21T09:25:40.000-07:00"
"2022-08-22",63,23550,28560,5010,3240,14880,5430,"2022-08-22T02:07:57.000-07:00","2022-08-22T10:03:57.000-07:00"
"2022-08-23",72,27240,32340,5100,3000,16200,8040,"2022-08-23T01:05:26.000-07:00","2022-08-23T10:04:26.000-07:00"
"2022-08-24",75,25860,30900,5040,5070,12270,8520,"2022-08-24T00:53:52.000-07:00","2022-08-24T09:28:52.000-07:00"
"2022-08-25",62,23760,29700,5940,1650,14700,7410,"2022-08-25T01:44:43.000-07:00","2022-08-25T09:59:43.000-07:00"
"2022-08-26",67,24810,31740,6930,4260,12930,7620,"2022-08-26T01:16:22.000-07:00","2022-08-26T10:05:22.000-07:00"
"2022-08-27",65,23430,29700,6270,4350,12330,6750,"2022-08-27T02:40:02.000-07:00","2022-08-27T10:55:02.000-07:00"
"2022-08-28",68,25830,31080,5250,3450,14040,8340,"2022-08-28T01:30:50.000-07:00","2022-08-28T10:08:50.000-07:00"
"2022-08-29",63,22410,29580,7170,1980,15270,5160,"2022-08-29T00:48:53.000-07:00","2022-08-29T09:01:53.000-07:00"
"2022-08-30",60,20940,26160,5220,1950,13170,5820,"2022-08-30T02:15:55.000-07:00","2022-08-30T09:31:55.000-07:00"
"2022-08-31",65,25470,33420,7950,3150,16440,5880,"2022-08-31T01:21:53.000-07:00","2022-08-31T10:38:53.000-07:00"
"2022-09-01",64,22110,26580,4470,3300,14280,4530,"2022-09-01T01:09:19.000-07:00","2022-09-01T08:32:19.000-07:00"
"2022-09-02",67,25020,31080,6060,4650,14820,5550,"2022-09-02T01:53:20.000-07:00","2022-09-02T10:31:20.000-07:00"
"2022-09-03",61,22410,29040,6630,3450,13890,5070,"2022-09-03T02:29:14.000-07:00","2022-09-03T10:33:14.000-07:00"
"2022-09-04",61,21540,27360,5820,3600,11940,6000,"2022-09-04T03:25:09.000-07:00","2022-09-04T11:01:09.000-07:00"
"2022-09-05",58,22170,33360,11190,2040,14490,5640,"2022-09-05T01:54:13.000-07:00","2022-09-05T11:10:13.000-07:00"
"2022-09-06",60,20430,23520,3090,1860,12270,6300,"2022-09-06T02:08:24.000-07:00","2022-09-06T08:40:24.000-07:00"
"2022-09-07",69,25950,35520,9570,3690,17160,5100,"2022-09-07T01:06:37.000-07:00","2022-09-07T10:58:37.000-07:00"
"2022-09-08",66,21240,26940,5700,3780,11160,6300,"2022-09-08T01:12:09.000-07:00","2022-09-08T08:41:09.000-07:00"
"2022-09-09",65,23880,33480,9600,4590,11850,7440,"2022-09-09T01:31:12.000-07:00","2022-09-09T10:49:12.000-07:00"
"2022-09-10",70,27060,34740,7680,4620,15300,7140,"2022-09-10T01:16:36.000-07:00","2022-09-10T10:55:36.000-07:00"
"2022-09-11",62,24180,31800,7620,4620,14580,4980,"2022-09-11T03:03:53.000-07:00","2022-09-11T11:53:53.000-07:00"
"2022-09-12",63,23700,30540,6840,3180,13680,6840,"2022-09-12T03:04:57.000-07:00","2022-09-12T11:33:57.000-07:00"
"2022-09-13",58,19710,25200,5490,1110,13050,5550,"2022-09-13T01:50:09.000-07:00","2022-09-13T08:50:09.000-07:00"
"2022-09-14",69,27210,35460,8250,5220,15750,6240,"2022-09-14T00:49:18.000-07:00","2022-09-14T10:40:18.000-07:00"
"2022-09-15",62,21780,26460,4680,4320,13560,3900,"2022-09-15T01:31:03.000-07:00","2022-09-15T08:52:03.000-07:00"
"2022-09-16",75,26580,33060,6480,3480,15690,7410,"2022-09-15T23:19:07.000-07:00","2022-09-16T08:30:07.000-07:00"
"2022-09-17",75,26850,33660,6810,5670,12450,8730,"2022-09-17T00:52:43.000-07:00","2022-09-17T10:13:43.000-07:00"
"2022-09-18",82,31800,41100,9300,6150,19470,6180,"2022-09-17T23:34:23.000-07:00","2022-09-18T10:59:23.000-07:00"
"2022-09-19",72,26940,32580,5640,4110,16980,5850,"2022-09-19T02:28:56.000-07:00","2022-09-19T11:31:56.000-07:00"
"2022-09-20",61,22560,27240,4680,2610,16290,3660,"2022-09-20T01:12:07.000-07:00","2022-09-20T08:46:07.000-07:00"
"2022-09-21",67,24480,32640,8160,4320,14550,5610,"2022-09-21T01:30:10.000-07:00","2022-09-21T10:34:10.000-07:00"
"2022-09-22",62,20370,25680,5310,4290,10800,5280,"2022-09-22T01:56:12.000-07:00","2022-09-22T09:04:12.000-07:00"
"2022-09-23",64,22740,27120,4380,2910,14550,5280,"2022-09-23T01:44:01.000-07:00","2022-09-23T09:16:01.000-07:00"
"2022-09-24",58,18780,23280,4500,5460,6630,6690,"2022-09-24T04:33:50.000-07:00","2022-09-24T11:01:50.000-07:00"
"2022-09-25",67,23940,27360,3420,7560,12600,3780,"2022-09-25T03:13:58.000-07:00","2022-09-25T10:49:58.000-07:00"
"2022-09-26",69,24960,29760,4800,4110,11910,8940,"2022-09-26T03:17:32.000-07:00","2022-09-26T11:33:32.000-07:00"
"2022-09-27",69,27150,34320,7170,2850,15210,9090,"2022-09-27T01:14:18.000-07:00","2022-09-27T10:46:18.000-07:00"
"2022-09-28",70,26220,31740,5520,4650,15240,6330,"2022-09-28T01:47:58.000-07:00","2022-09-28T10:36:58.000-07:00"
"2022-09-29",58,21480,25080,3600,3660,12600,5220,"2022-09-29T02:07:56.000-07:00","2022-09-29T09:05:56.000-07:00"
"2022-09-30",73,28320,35580,7260,5370,14130,8820,"2022-09-30T01:58:29.000-07:00","2022-09-30T11:51:29.000-07:00"
"2022-10-01",79,31170,38640,7470,6570,17040,7560,"2022-10-01T01:21:37.000-07:00","2022-10-01T12:05:37.000-07:00"
"2022-10-02",66,25470,31500,6030,3720,12600,9150,"2022-10-02T03:22:17.000-07:00","2022-10-02T12:07:17.000-07:00"
"2022-10-03",63,25350,32520,7170,4380,16020,4950,"2022-10-03T01:54:13.000-07:00","2022-10-03T10:56:13.000-07:00"
"2022-10-04",68,27030,35880,8850,5220,13920,7890,"2022-10-04T01:26:55.000-07:00","2022-10-04T11:24:55.000-07:00"
"2022-10-05",80,29550,35340,5790,6390,16020,7140,"2022-10-05T01:26:16.000-07:00","2022-10-05T11:15:16.000-07:00"
"2022-10-06",53,19080,23760,4680,2790,12510,3780,"2022-10-06T02:14:49.000-07:00","2022-10-06T08:50:49.000-07:00"
"2022-10-07",41,12750,20700,7950,1140,9960,1650,"2022-10-06T21:25:46.000-07:00","2022-10-07T03:10:46.000-07:00"
"2022-10-08",65,24120,27840,3720,4200,14340,5580,"2022-10-08T03:57:49.000+02:00","2022-10-08T11:41:49.000+02:00"
"2022-10-09",65,19830,22980,3150,8490,5100,6240,"2022-10-09T08:28:44.000+02:00","2022-10-09T14:51:44.000+02:00"
"2022-10-10",60,22230,28080,5850,1890,12780,7560,"2022-10-10T01:59:12.000+02:00","2022-10-10T09:47:12.000+02:00"
"2022-10-11",69,26580,31620,5040,4230,15120,7230,"2022-10-11T02:42:07.000+02:00","2022-10-11T11:29:07.000+02:00"
"2022-10-12",63,19800,22860,3060,11190,6090,2520,"2022-10-12T09:09:33.000+02:00","2022-10-12T15:30:33.000+02:00"
"2022-10-13",81,32310,38280,5970,5400,19050,7860,"2022-10-13T01:11:46.000+02:00","2022-10-13T11:49:46.000+02:00"
"2022-10-14",66,24900,30900,6000,3420,15420,6060,"2022-10-14T03:54:31.000+02:00","2022-10-14T12:29:31.000+02:00"
"2022-10-15",75,24030,27360,3330,5610,11580,6840,"2022-10-15T05:26:29.000+02:00","2022-10-15T13:02:29.000+02:00"
"2022-10-16",51,14820,16620,1800,1260,8430,5130,"2022-10-16T04:29:25.000+02:00","2022-10-16T09:06:25.000+02:00"
"2022-10-17",87,34800,45240,10440,8850,15450,10500,"2022-10-16T21:40:13.000-07:00","2022-10-17T10:14:13.000-07:00"
"2022-10-18",67,23130,28980,5850,4470,11910,6750,"2022-10-18T00:51:33.000-07:00","2022-10-18T08:54:33.000-07:00"
"2022-10-19",76,27930,34200,6270,5280,14100,8550,"2022-10-19T00:53:47.000-07:00","2022-10-19T10:23:47.000-07:00"
"2022-10-20",65,20070,25860,5790,4050,7560,8460,"2022-10-20T01:45:16.000-07:00","2022-10-20T08:56:16.000-07:00"
"2022-10-21",62,22890,27960,5070,3570,10830,8490,"2022-10-21T03:27:21.000-07:00","2022-10-21T11:13:21.000-07:00"
"2022-10-22",72,27390,32940,5550,6120,11190,10080,"2022-10-22T03:28:11.000-07:00","2022-10-22T12:37:11.000-07:00"
"2022-10-23",75,30960,45480,14520,6240,19470,5250,"2022-10-22T23:39:24.000-07:00","2022-10-23T12:17:24.000-07:00"
"2022-10-24",71,26430,33000,6570,5310,14850,6270,"2022-10-24T02:12:52.000-07:00","2022-10-24T11:22:52.000-07:00"
"2022-10-25",68,22590,26880,4290,3030,13950,5610,"2022-10-25T01:37:18.000-07:00","2022-10-25T09:05:18.000-07:00"
"2022-10-26",71,26580,32280,5700,4560,13770,8250,"2022-10-26T02:45:34.000-07:00","2022-10-26T11:43:34.000-07:00"
"2022-10-27",61,21450,28020,6570,3570,10200,7680,"2022-10-27T01:19:45.000-07:00","2022-10-27T09:06:45.000-07:00"
"2022-10-28",63,21600,24060,2460,2130,9840,9630,"2022-10-28T02:47:14.000-07:00","2022-10-28T09:28:14.000-07:00"
"2022-10-29",69,26340,31560,5220,4470,13740,8130,"2022-10-29T04:29:06.000-07:00","2022-10-29T13:15:06.000-07:00"
"2022-10-30",74,27330,30780,3450,4530,15060,7740,"2022-10-30T02:58:09.000-07:00","2022-10-30T11:31:09.000-07:00"
"2022-10-31",69,25740,33900,8160,4470,12810,8460,"2022-10-31T02:07:01.000-07:00","2022-10-31T11:32:01.000-07:00"
"2022-11-01",55,17370,22320,4950,2280,8430,6660,"2022-11-01T02:57:32.000-07:00","2022-11-01T09:09:32.000-07:00"
"2022-11-02",68,25620,30660,5040,4170,13740,7710,"2022-11-02T03:21:28.000-07:00","2022-11-02T11:52:28.000-07:00"
"2022-11-03",59,21930,26820,4890,2490,13590,5850,"2022-11-03T01:43:20.000-07:00","2022-11-03T09:10:20.000-07:00"
"2022-11-04",77,30390,35700,5310,5460,16260,8670,"2022-11-04T03:00:38.000-07:00","2022-11-04T12:55:38.000-07:00"
"2022-11-05",79,30930,37200,6270,5880,14190,10860,"2022-11-05T02:02:32.000-07:00","2022-11-05T12:22:32.000-07:00"
"2022-11-06",71,26130,33060,6930,4590,14880,6660,"2022-11-06T02:22:39.000-08:00","2022-11-06T11:33:39.000-08:00"
"2022-11-07",68,24630,32580,7950,4560,14160,5910,"2022-11-07T01:59:51.000-08:00","2022-11-07T11:02:51.000-08:00"
"2022-11-08",68,26550,34740,8190,3990,15570,6990,"2022-11-08T01:42:00.000-08:00","2022-11-08T11:21:00.000-08:00"
"2022-11-09",70,26850,31740,4890,2610,17910,6330,"2022-11-09T02:02:41.000-08:00","2022-11-09T10:51:41.000-08:00"
"2022-11-10",68,23040,26580,3540,4650,12570,5820,"2022-11-10T01:40:43.000-08:00","2022-11-10T09:03:43.000-08:00"
"2022-11-11",69,24870,29220,4350,3360,12330,9180,"2022-11-11T02:20:58.000-08:00","2022-11-11T10:27:58.000-08:00"
"2022-11-12",66,25260,31080,5820,4470,14190,6600,"2022-11-12T03:20:45.000-08:00","2022-11-12T11:58:45.000-08:00"
"2022-11-13",80,32490,40440,7950,5910,21090,5490,"2022-11-13T01:39:05.000-08:00","2022-11-13T12:53:05.000-08:00"
"2022-11-14",71,27090,34140,7050,5580,14130,7380,"2022-11-14T02:14:10.000-08:00","2022-11-14T11:43:10.000-08:00"
"2022-11-15",67,23160,27060,3900,3390,14670,5100,"2022-11-15T01:39:53.000-08:00","2022-11-15T09:10:53.000-08:00"
"2022-11-16",62,22380,29460,7080,3030,10620,8730,"2022-11-16T02:21:33.000-08:00","2022-11-16T10:32:33.000-08:00"
"2022-11-18",71,26790,34380,7590,5970,14850,5970,"2022-11-18T04:47:14.000+01:00","2022-11-18T14:20:14.000+01:00"
"2022-11-20",73,28290,36480,8190,6570,16980,4740,"2022-11-20T04:37:59.000+01:00","2022-11-20T14:45:59.000+01:00"
"2022-11-21",65,23640,31920,8280,4110,12810,6720,"2022-11-21T02:35:50.000+01:00","2022-11-21T11:27:50.000+01:00"
"2022-11-22",59,23160,28800,5640,2340,14610,6210,"2022-11-22T03:28:26.000+01:00","2022-11-22T11:28:26.000+01:00"
"2022-11-23",64,24060,29100,5040,3360,14430,6270,"2022-11-23T03:25:58.000+01:00","2022-11-23T11:30:58.000+01:00"
"2022-11-24",60,20880,23400,2520,2820,10440,7620,"2022-11-24T05:15:04.000+01:00","2022-11-24T11:45:04.000+01:00"
"2022-11-25",61,19440,22620,3180,6570,7980,4890,"2022-11-25T06:36:09.000+01:00","2022-11-25T12:53:09.000+01:00"
"2022-11-26",48,15840,19260,3420,1800,9240,4800,"2022-11-26T03:39:29.000+01:00","2022-11-26T09:00:29.000+01:00"
"2022-11-27",79,33480,41220,7740,5190,17910,10380,"2022-11-27T00:35:29.000-08:00","2022-11-27T12:02:29.000-08:00"
"2022-11-28",59,21660,28500,6840,3030,11640,6990,"2022-11-28T02:51:56.000-08:00","2022-11-28T10:46:56.000-08:00"
"2022-11-29",67,22650,28620,5970,3150,11130,8370,"2022-11-29T00:57:12.000-08:00","2022-11-29T08:54:12.000-08:00"
"2022-11-30",79,31230,36120,4890,5550,18060,7620,"2022-11-30T01:09:22.000-08:00","2022-11-30T11:11:22.000-08:00"
"2022-12-01",68,22170,30120,7950,3510,11310,7350,"2022-12-01T00:39:02.000-08:00","2022-12-01T09:01:02.000-08:00"
"2022-12-02",75,22680,25980,3300,4320,11460,6900,"2022-12-01T23:42:32.000-08:00","2022-12-02T06:55:32.000-08:00"
"2022-12-03",61,21990,28800,6810,3840,9840,8310,"2022-12-03T02:38:34.000-08:00","2022-12-03T10:38:34.000-08:00"
"2022-12-04",60,22590,27300,4710,5190,12210,5190,"2022-12-04T01:35:04.000-08:00","2022-12-04T09:10:04.000-08:00"
"2022-12-05",76,29070,37380,8310,4350,15780,8940,"2022-12-04T23:48:29.000-08:00","2022-12-05T10:11:29.000-08:00"
"2022-12-06",75,25320,31140,5820,3840,14970,6510,"2022-12-06T00:21:53.000-08:00","2022-12-06T09:00:53.000-08:00"
"2022-12-07",68,27960,37260,9300,5460,15150,7350,"2022-12-07T00:49:59.000-08:00","2022-12-07T11:10:59.000-08:00"
"2022-12-08",65,22140,27780,5640,3990,10020,8130,"2022-12-08T02:18:49.000-08:00","2022-12-08T10:01:49.000-08:00"
"2022-12-09",75,28500,35940,7440,5040,15660,7800,"2022-12-09T01:55:51.000-08:00","2022-12-09T11:54:51.000-08:00"
"2022-12-10",68,24600,29040,4440,4440,13260,6900,"2022-12-10T03:00:26.000-08:00","2022-12-10T11:04:26.000-08:00"
"2022-12-11",60,23280,31260,7980,2550,13140,7590,"2022-12-11T03:16:38.000-08:00","2022-12-11T11:57:38.000-08:00"
"2022-12-12",62,23310,31680,8370,5190,11670,6450,"2022-12-12T03:08:52.000-08:00","2022-12-12T11:56:52.000-08:00"
"2022-12-13",60,21330,25860,4530,1680,11100,8550,"2022-12-13T01:59:09.000-08:00","2022-12-13T09:10:09.000-08:00"
"2022-12-14",79,30870,39600,8730,5100,15300,10470,"2022-12-14T01:22:59.000-08:00","2022-12-14T12:22:59.000-08:00"
"2022-12-15",67,27990,35220,7230,3450,17310,7230,"2022-12-15T03:12:33.000-08:00","2022-12-15T12:59:33.000-08:00"
"2022-12-16",57,15990,19140,3150,1800,8760,5430,"2022-12-16T02:00:03.000-08:00","2022-12-16T07:19:03.000-08:00"
"2022-12-17",81,36300,41040,4740,6750,17490,12060,"2022-12-17T02:09:38.000-08:00","2022-12-17T13:33:38.000-08:00"
"2022-12-18",70,26400,31860,5460,5160,12360,8880,"2022-12-18T03:55:20.000-08:00","2022-12-18T12:46:20.000-08:00"
"2022-12-19",73,27660,33660,6000,5580,14460,7620,"2022-12-19T03:16:09.000-08:00","2022-12-19T12:37:09.000-08:00"
"2022-12-20",71,30540,39240,8700,4800,14880,10860,"2022-12-20T01:28:00.000-08:00","2022-12-20T12:22:00.000-08:00"
"2022-12-21",68,26400,32040,5640,4050,16350,6000,"2022-12-21T01:36:43.000-08:00","2022-12-21T10:30:43.000-08:00"
"2022-12-22",69,20070,24540,4470,3180,10170,6720,"2022-12-21T23:08:23.000-08:00","2022-12-22T05:57:23.000-08:00"
"2022-12-23",77,31680,36180,4500,13830,15930,1920,"2022-12-23T06:56:17.000+01:00","2022-12-23T16:59:17.000+01:00"
"2022-12-24",70,25260,28980,3720,4020,12420,8820,"2022-12-24T01:20:59.000+01:00","2022-12-24T09:23:59.000+01:00"
"2022-12-25",70,27330,30480,3150,3060,14910,9360,"2022-12-25T04:39:02.000+01:00","2022-12-25T13:07:02.000+01:00"
"2022-12-26",66,23580,29220,5640,10140,8670,4770,"2022-12-26T06:37:37.000+01:00","2022-12-26T14:44:37.000+01:00"
"2022-12-27",67,19980,23460,3480,2190,12060,5730,"2022-12-27T02:34:28.000+01:00","2022-12-27T09:05:28.000+01:00"
"2022-12-28",60,20520,23940,3420,2160,11610,6750,"2022-12-28T02:31:10.000+01:00","2022-12-28T09:10:10.000+01:00"
"2022-12-29",69,26070,33780,7710,4650,14610,6810,"2022-12-29T03:01:02.000+01:00","2022-12-29T12:24:02.000+01:00"
"2022-12-30",76,26790,30180,3390,5340,15690,5760,"2022-12-30T02:34:26.000+01:00","2022-12-30T10:57:26.000+01:00"
"2022-12-31",82,32640,36180,3540,7080,18150,7410,"2022-12-31T05:19:15.000+01:00","2022-12-31T15:22:15.000+01:00"
"2022-07-24",NA,NA,NA,NA,NA,NA,NA,"",""
"2022-11-17",NA,NA,NA,NA,NA,NA,NA,"",""
"2022-11-19",NA,NA,NA,NA,NA,NA,NA,"",""
